String;String;
Tel Aviv University;Israel;
The Open University;United Kingdom;
The Open University in Scotland;United Kingdom;
The University of British Columbia;USA;
The University of Sydney;Australia;
Thompson Rivers University - Open Learning;Canada;
Trinity College Dublin;Ireland;
Tutor Technologies;USA;
UKM;Malaysia;
UNED;Spain;
Universidad Austral de Chile;Chile;
Universidad Autonoma de Madrid;Spain;
Universidad Autonoma de Yucatan;Mexico;
Universidad de Cantabria;Spain;
Universidad de La Laguna;Spain;
Universidad de Lima;Spain;
Universidade Federal de Alagoas;Brasil;
Universita degli Studi Napoli Federico II;Italy;
Universitat Oberta de Catalunya (UOC);Spain;
Universitat Wurzburg;Germany;
Universite Joseph Fourier;France;
Universite de Paris-Sud;France;
University - Higher School of Economics;Russia;
University Carlos III of Madrid;Spain;
University of Alberta;Canada;
University of Belgrade;Serbia;
University of Birmingham;United Kingdom;
University of Bristol;United Kingdom;
University of British Columbia;Canada;
University of California;USA;
University of California, Berkeley;USA;
University of Cantabria;Spain;
University of Canterbury;New Zealand;
University of Castilla la Mancha;Spain;
University of Colorado;USA;
University of Colorado at Boulder;USA;
University of Cordoba;Spain;
University of Electro-Communications;;
University of Glasgow;United Kingdom;
University of Granada;Spain;
University of Guelph;Canada;
University of Hawaii;USA;
University of Hildesheim;Germany;
University of Leeds;United Kingdom;
University of Leiden;Netherlands;
University of Ljubljana;Slovenia;
University of Louisville;USA;
University of Maryland;USA;
University of Massachusetts;USA;
University of Memphis;USA;
University of Michigan;USA;
University of Missouri;USA;
University of National and World Economy;Bulgaria;
University of New South Wales;Australia;
University of North Carolina at Charlotte;USA;
University of Ostrava;Czech_Republic;
University of Pittsburgh;USA;
University of Queensland;Australia;
University of Saskatchewan;Canada;
University of South Africa;South_Africa;
University of Southern California;USA;
University of Sussex;United Kingdom;
University of Sydney;Australia;
University of Technology;Slovak;
University of Twente;Netherlands;
University of Utah;USA;
University of Washington;USA;
University of Waterloo;;
University of Windsor;Canada;
University of Wisconsin;USA;
University of Wollongong;Australia;
Utah State University;USA;
Utrecht University;Netherlands;
Vanderbilt University;USA;
Virginia Tech;USA;
Western Kentucky University;USA;
Worcester Polytechnic Institute;USA;
KU Leuven;Belgium;
Ecole national Superieure d'Informatique;Algiers;
Total;-;
-;-;
